sex;age;race;marital-status;education;native-country;workclass;occupation;salary-class
Female;52;White;Married-civ-spouse;Secondary education;North America;Non-Government;Other;<=50K
Male;65;White;Married-civ-spouse;Higher education;North America;Non-Government;Other;<=50K
Female;69;Black;Widowed;Secondary education;North America;Government;Other;<=50K
Male;51;White;Married-civ-spouse;Secondary education;North America;Non-Government;Other;>50K
*;52;*;*;*;*;*;*;*
Male;73;White;Married-civ-spouse;Secondary education;North America;Non-Government;Other;<=50K
Female;53;White;Divorced;Secondary education;North America;Non-Government;Nontechnical;<=50K
Male;51;White;Married-civ-spouse;Higher education;North America;Government;Technical;>50K
Male;54;White;Married-civ-spouse;Higher education;North America;Non-Government;Nontechnical;>50K
Male;64;White;Married-civ-spouse;Secondary education;North America;Government;Other;<=50K
Male;69;White;Married-civ-spouse;Secondary education;North America;Non-Government;Other;<=50K
Male;58;White;Married-civ-spouse;Higher education;North America;Non-Government;Technical;<=50K
Male;53;Black;Married-civ-spouse;Secondary education;North America;Non-Government;Technical;<=50K
Male;59;White;Married-civ-spouse;Secondary education;North America;Non-Government;Technical;>50K
Male;60;White;Married-civ-spouse;Higher education;North America;Government;Technical;>50K
Male;55;White;Married-civ-spouse;Higher education;North America;Non-Government;Technical;>50K
Female;58;White;Divorced;Higher education;North America;Non-Government;Other;<=50K
Male;80;White;Married-civ-spouse;Secondary education;North America;Non-Government;Other;<=50K
Male;51;White;Married-civ-spouse;Higher education;North America;Non-Government;Nontechnical;<=50K
Male;58;White;Married-civ-spouse;Secondary education;North America;Non-Government;Technical;<=50K
Male;52;White;Married-civ-spouse;Secondary education;North America;Non-Government;Technical;>50K
Male;54;White;Married-civ-spouse;Secondary education;North America;Non-Government;Technical;>50K
Male;65;White;Married-civ-spouse;Secondary education;North America;Non-Government;Nontechnical;<=50K
Male;63;White;Married-civ-spouse;Higher education;North America;Non-Government;Nontechnical;>50K
Male;58;White;Married-civ-spouse;Secondary education;North America;Non-Government;Technical;<=50K
Male;57;White;Married-civ-spouse;Higher education;North America;Government;Technical;>50K
Female;51;White;Married-civ-spouse;Secondary education;North America;Non-Government;Other;<=50K
Male;60;White;Married-civ-spouse;Higher education;North America;Non-Government;Nontechnical;>50K
Male;61;White;Married-civ-spouse;Higher education;North America;Government;Technical;<=50K
Male;58;White;Married-civ-spouse;Higher education;North America;Non-Government;Nontechnical;>50K
Male;51;White;Married-civ-spouse;Higher education;North America;Non-Government;Technical;>50K
*;65;*;*;*;*;*;*;*
Male;63;White;Married-civ-spouse;Higher education;North America;Non-Government;Other;<=50K
*;71;*;*;*;*;*;*;*
Female;55;White;Divorced;Higher education;North America;Non-Government;Other;<=50K
Male;56;White;Divorced;Secondary education;North America;Non-Government;Technical;<=50K
Female;56;White;Divorced;Secondary education;North America;Non-Government;Other;<=50K
*;60;*;*;*;*;*;*;*
Male;56;White;Married-civ-spouse;Higher education;North America;Non-Government;Technical;>50K
Male;53;White;Married-civ-spouse;Secondary education;North America;Non-Government;Technical;>50K
Male;58;White;Married-civ-spouse;Higher education;North America;Non-Government;Technical;>50K
Male;55;White;Married-civ-spouse;Higher education;North America;Non-Government;Technical;>50K
Female;59;White;Widowed;Secondary education;North America;Non-Government;Nontechnical;<=50K
Male;54;White;Divorced;Higher education;North America;Non-Government;Technical;>50K
Male;51;White;Divorced;Higher education;North America;Non-Government;Technical;<=50K
Male;66;White;Married-civ-spouse;Higher education;North America;Non-Government;Technical;>50K
Male;69;White;Married-civ-spouse;Higher education;North America;Non-Government;Technical;<=50K
*;53;*;*;*;*;*;*;*
*;53;*;*;*;*;*;*;*
Female;57;White;Divorced;Higher education;North America;Government;Technical;<=50K
Male;71;White;Widowed;Secondary education;North America;Non-Government;Nontechnical;>50K
Male;53;White;Married-civ-spouse;Higher education;North America;Non-Government;Technical;<=50K
Male;53;Black;Married-civ-spouse;Higher education;North America;Government;Nontechnical;>50K
Female;51;White;Married-civ-spouse;Higher education;North America;Government;Other;<=50K
Male;54;White;Married-civ-spouse;Secondary education;North America;Non-Government;Other;<=50K
*;52;*;*;*;*;*;*;*
Male;53;White;Married-civ-spouse;Higher education;North America;Non-Government;Nontechnical;>50K
Male;57;White;Married-civ-spouse;Higher education;North America;Non-Government;Nontechnical;>50K
Male;62;White;Married-civ-spouse;Secondary education;North America;Non-Government;Nontechnical;<=50K
Male;62;White;Married-civ-spouse;Higher education;North America;Non-Government;Technical;>50K
*;58;*;*;*;*;*;*;*
Male;51;Black;Married-civ-spouse;Secondary education;North America;Non-Government;Technical;<=50K
Male;51;White;Divorced;Higher education;North America;Non-Government;Technical;>50K
Male;67;White;Divorced;Higher education;North America;Non-Government;Other;<=50K
Male;58;White;Married-civ-spouse;Secondary education;North America;Non-Government;Other;<=50K
Male;55;White;Married-civ-spouse;Secondary education;North America;Non-Government;Other;<=50K
Male;56;White;Divorced;Higher education;North America;Non-Government;Nontechnical;>50K
Male;51;White;Married-civ-spouse;Higher education;North America;Government;Technical;>50K
Male;56;White;Married-civ-spouse;Secondary education;North America;Non-Government;Nontechnical;<=50K
Male;59;White;Divorced;Higher education;North America;Non-Government;Other;<=50K
Female;60;White;Married-civ-spouse;Higher education;North America;Government;Other;<=50K
Male;53;White;Married-civ-spouse;Secondary education;North America;Non-Government;Technical;<=50K
Male;60;White;Divorced;Higher education;North America;Government;Technical;>50K
Male;66;White;Widowed;Secondary education;North America;Non-Government;Technical;<=50K
Male;55;White;Married-civ-spouse;Secondary education;North America;Non-Government;Other;<=50K
Male;68;White;Married-civ-spouse;Higher education;North America;Non-Government;Nontechnical;>50K
Male;55;White;Married-civ-spouse;Secondary education;North America;Non-Government;Technical;>50K
Male;60;White;Married-civ-spouse;Higher education;North America;Non-Government;Nontechnical;>50K
Male;54;White;Married-civ-spouse;Higher education;North America;Non-Government;Nontechnical;<=50K
*;62;*;*;*;*;*;*;*
Male;51;White;Married-civ-spouse;Secondary education;North America;Non-Government;Technical;<=50K
Female;56;White;Separated;Secondary education;North America;Non-Government;Technical;<=50K
Male;66;White;Married-civ-spouse;Higher education;North America;Non-Government;Technical;>50K
Male;58;White;Married-civ-spouse;Higher education;North America;Non-Government;Other;<=50K
Male;77;White;Married-civ-spouse;Higher education;North America;Non-Government;Nontechnical;<=50K
Male;51;White;Divorced;Higher education;North America;Non-Government;Technical;>50K
Female;62;White;Widowed;Secondary education;North America;Non-Government;Other;<=50K
Male;53;White;Married-civ-spouse;Higher education;North America;Non-Government;Nontechnical;>50K
Male;54;White;Married-civ-spouse;Higher education;North America;Government;Other;>50K
Female;56;White;Divorced;Secondary education;North America;Non-Government;Technical;<=50K
Male;53;White;Married-civ-spouse;Higher education;North America;Non-Government;Technical;>50K
*;55;*;*;*;*;*;*;*
Male;54;White;Married-civ-spouse;Secondary education;North America;Non-Government;Technical;<=50K
Female;60;White;Married-civ-spouse;Secondary education;North America;Non-Government;Technical;<=50K
Male;51;White;Divorced;Secondary education;North America;Non-Government;Nontechnical;<=50K
*;67;*;*;*;*;*;*;*
Female;59;White;Divorced;Higher education;North America;Non-Government;Technical;<=50K
Male;52;White;Married-civ-spouse;Higher education;North America;Non-Government;Technical;<=50K
Male;51;White;Married-civ-spouse;Higher education;North America;Non-Government;Nontechnical;>50K
Male;51;White;Married-civ-spouse;Higher education;North America;Non-Government;Nontechnical;>50K
Male;52;White;Married-civ-spouse;Primary education;North America;Non-Government;Technical;<=50K
Female;58;White;Married-civ-spouse;Secondary education;North America;Non-Government;Other;<=50K
*;68;*;*;*;*;*;*;*
Male;59;White;Married-civ-spouse;Higher education;North America;Non-Government;Technical;>50K
Male;58;White;Widowed;Secondary education;North America;Non-Government;Nontechnical;<=50K
Female;55;White;Divorced;Secondary education;North America;Non-Government;Technical;>50K
Male;61;White;Married-civ-spouse;Secondary education;North America;Non-Government;Technical;<=50K
Female;53;White;Divorced;Secondary education;North America;Non-Government;Other;<=50K
Female;65;White;Divorced;Secondary education;North America;Non-Government;Nontechnical;<=50K
Male;58;White;Married-civ-spouse;Higher education;North America;Government;Technical;>50K
Female;51;Black;Separated;Secondary education;North America;Non-Government;Other;<=50K
Male;51;White;Married-civ-spouse;Higher education;North America;Non-Government;Technical;>50K
*;60;*;*;*;*;*;*;*
Female;59;White;Divorced;Secondary education;North America;Non-Government;Technical;<=50K
*;51;*;*;*;*;*;*;*
Male;59;White;Never-married;Higher education;North America;Non-Government;Nontechnical;>50K
Male;65;White;Married-civ-spouse;Secondary education;North America;Non-Government;Other;<=50K
Female;62;White;Never-married;Secondary education;North America;Non-Government;Other;<=50K
Male;61;White;Married-civ-spouse;Secondary education;North America;Non-Government;Technical;<=50K
Male;54;White;Married-civ-spouse;Higher education;North America;Non-Government;Nontechnical;>50K
Male;56;White;Married-civ-spouse;Higher education;North America;Non-Government;Other;>50K
Female;64;White;Widowed;Secondary education;North America;Non-Government;Other;<=50K
Female;54;White;Widowed;Secondary education;North America;Non-Government;Other;<=50K
Female;55;White;Divorced;Higher education;North America;Non-Government;Technical;<=50K
Male;55;White;Married-civ-spouse;Higher education;North America;Non-Government;Nontechnical;<=50K
Male;54;White;Married-civ-spouse;Higher education;North America;Non-Government;Other;>50K
Female;62;White;Widowed;Higher education;North America;Government;Other;<=50K
Female;53;White;Married-civ-spouse;Higher education;North America;Non-Government;Other;>50K
Male;65;White;Separated;Secondary education;North America;Non-Government;Other;<=50K
Male;62;White;Divorced;Secondary education;North America;Non-Government;Nontechnical;<=50K
Male;54;White;Married-civ-spouse;Secondary education;North America;Non-Government;Technical;<=50K
Male;58;White;Married-civ-spouse;Secondary education;North America;Non-Government;Technical;<=50K
Male;54;White;Married-civ-spouse;Higher education;North America;Government;Nontechnical;>50K
Male;56;White;Married-civ-spouse;Higher education;North America;Non-Government;Technical;>50K
Male;59;White;Divorced;Secondary education;North America;Non-Government;Technical;<=50K
Male;55;White;Married-civ-spouse;Higher education;North America;Non-Government;Other;>50K
Male;66;White;Married-civ-spouse;Higher education;North America;Non-Government;Technical;>50K
*;64;*;*;*;*;*;*;*
*;63;*;*;*;*;*;*;*
Male;56;White;Married-civ-spouse;Higher education;North America;Non-Government;Technical;<=50K
Female;51;White;Divorced;Secondary education;North America;Non-Government;Other;<=50K
Female;55;White;Divorced;Secondary education;North America;Non-Government;Technical;<=50K
Male;73;White;Married-civ-spouse;Higher education;North America;Non-Government;Nontechnical;<=50K
Female;52;White;Divorced;Secondary education;North America;Non-Government;Other;<=50K
Male;55;White;Married-civ-spouse;Higher education;North America;Non-Government;Nontechnical;>50K
*;51;*;*;*;*;*;*;*
Female;68;White;Divorced;Higher education;North America;Non-Government;Nontechnical;<=50K
*;77;*;*;*;*;*;*;*
Male;53;White;Married-civ-spouse;Higher education;North America;Government;Nontechnical;>50K
*;74;*;*;*;*;*;*;*
Male;90;White;Married-civ-spouse;Secondary education;North America;Government;Technical;<=50K
Male;52;White;Married-civ-spouse;Secondary education;North America;Non-Government;Other;<=50K
*;66;*;*;*;*;*;*;*
Female;63;White;Divorced;Higher education;North America;Non-Government;Other;<=50K
*;55;*;*;*;*;*;*;*
*;52;*;*;*;*;*;*;*
*;59;*;*;*;*;*;*;*
Female;70;White;Married-civ-spouse;Secondary education;North America;Non-Government;Other;<=50K
*;57;*;*;*;*;*;*;*
Male;55;White;Married-civ-spouse;Higher education;North America;Non-Government;Technical;<=50K
Male;70;White;Divorced;Higher education;North America;Non-Government;Other;<=50K
Male;88;White;Married-civ-spouse;Higher education;North America;Non-Government;Technical;<=50K
Male;69;White;Married-civ-spouse;Secondary education;North America;Non-Government;Nontechnical;<=50K
Male;58;White;Never-married;Higher education;North America;Government;Technical;<=50K
Male;54;White;Married-civ-spouse;Higher education;North America;Non-Government;Technical;>50K
Female;64;White;Never-married;Higher education;North America;Non-Government;Other;<=50K
Female;64;White;Widowed;Higher education;North America;Non-Government;Other;<=50K
Female;67;White;Divorced;Higher education;North America;Non-Government;Other;<=50K
*;51;*;*;*;*;*;*;*
Male;60;White;Married-civ-spouse;Secondary education;North America;Non-Government;Technical;<=50K
*;68;*;*;*;*;*;*;*
Male;53;White;Married-civ-spouse;Higher education;North America;Non-Government;Other;>50K
Male;57;Asian-Pac-Islander;Married-civ-spouse;Higher education;Asia;Non-Government;Technical;>50K
*;74;*;*;*;*;*;*;*
Male;52;White;Married-civ-spouse;Higher education;North America;Non-Government;Technical;<=50K
Female;58;White;Married-civ-spouse;Higher education;North America;Non-Government;Nontechnical;<=50K
Male;58;White;Divorced;Higher education;North America;Non-Government;Other;<=50K
Female;59;White;Divorced;Higher education;North America;Government;Technical;<=50K
Male;64;White;Married-civ-spouse;Secondary education;North America;Non-Government;Nontechnical;>50K
Male;59;White;Married-civ-spouse;Higher education;North America;Non-Government;Nontechnical;<=50K
Male;65;White;Married-civ-spouse;Secondary education;North America;Non-Government;Nontechnical;<=50K
Male;57;White;Married-civ-spouse;Secondary education;North America;Non-Government;Other;<=50K
Female;64;White;Never-married;Higher education;North America;Government;Technical;>50K
